"name";"url"
"puerto rican pop";"https://embed.spotify.com/?uri=spotify:playlist:0KPfijR82jvlPTnt3Hmu2Q"
"german pop";"https://embed.spotify.com/?uri=spotify:playlist:4pCmObKUeRQFFsF2nXu9t8"
"miami hip hop";"https://embed.spotify.com/?uri=spotify:playlist:4F2wv2RnXpmVW86K7Z2Es2"
"argentine rock";"https://embed.spotify.com/?uri=spotify:playlist:70yDbCeImYqhxCDRU0qXpd"
"sertanejo pop";"https://embed.spotify.com/?uri=spotify:playlist:1JsjFOxcEp912tK85VC98V"
"tropical";"https://embed.spotify.com/?uri=spotify:playlist:5pkSkAC6JTpIgg0zSQoWdF"
"glam rock";"https://embed.spotify.com/?uri=spotify:playlist:71LnSyxXMKcxgJSAhC1KDK"
"funk carioca";"https://embed.spotify.com/?uri=spotify:playlist:1aAckG2NI0cuL7QDKVeV2N"
"nigerian pop";"https://embed.spotify.com/?uri=spotify:playlist:7MwdQNmdKjQx3h1p3vP2eZ"
"argentine hip hop";"https://embed.spotify.com/?uri=spotify:playlist:6tT2e2rcnpUrywDkmgSASj"
"dark trap";"https://embed.spotify.com/?uri=spotify:playlist:1lEZC1rWlusGF0IC6JxR5V"
"latin viral pop";"https://embed.spotify.com/?uri=spotify:playlist:6yZCXdIyG6jxAnWnm2wXKp"
"piano rock";"https://embed.spotify.com/?uri=spotify:playlist:5rVVQKO7UFXkwpt7jF1Ne4"
"detroit hip hop";"https://embed.spotify.com/?uri=spotify:playlist:7gIFgVQoSml3JocSRd2t4S"
"italian adult pop";"https://embed.spotify.com/?uri=spotify:playlist:4APG0kwkbEt77VxOuqKCUl"
"country rock";"https://embed.spotify.com/?uri=spotify:playlist:2yykv7TMUr4jPHPAE8Q3vW"
"underground hip hop";"https://embed.spotify.com/?uri=spotify:playlist:6d99h91us5ozdlNDvaeyXn"
"mexican hip hop";"https://embed.spotify.com/?uri=spotify:playlist:0zTflwpEJVMnCOSmExgS75"
"progressive electro house";"https://embed.spotify.com/?uri=spotify:playlist:6j9xPeEsHgCS1eZW0HsIsk"
"synthpop";"https://embed.spotify.com/?uri=spotify:playlist:71wpwg8KzRxx240DcJx2EE"
"metropopolis";"https://embed.spotify.com/?uri=spotify:playlist:70z5dMlsS9fPudWdQ9ebqP"
"garage rock";"https://embed.spotify.com/?uri=spotify:playlist:4Wnjv0bnb6Y7Il7WhEJC3x"
"indie folk";"https://embed.spotify.com/?uri=spotify:playlist:5Z5KHMrb3bNWGOZJ6y8gsL"
"vocal jazz";"https://embed.spotify.com/?uri=spotify:playlist:2ZazIXecBCVmTlbyKJHxOc"
"classical";"https://embed.spotify.com/?uri=spotify:playlist:3HYK6ri0GkvRcM6GkKh0hJ"
"europop";"https://embed.spotify.com/?uri=spotify:playlist:4vuWieduKii4KZrUboVr9d"
"progressive house";"https://embed.spotify.com/?uri=spotify:playlist:3ApHTzZrOMqtDhnyiBSSci"
"art rock";"https://embed.spotify.com/?uri=spotify:playlist:6PimpDQHW8sNtGfz1jDTAi"
"yacht rock";"https://embed.spotify.com/?uri=spotify:playlist:1imbMwZYgwB2NCAVPkq5sZ"
"mpb";"https://embed.spotify.com/?uri=spotify:playlist:0Fr9ysvU9XjFBMl4Rhl755"
"pagode";"https://embed.spotify.com/?uri=spotify:playlist:2mL2d1k8Vxlf4P4q6JqcAv"
"tropical house";"https://embed.spotify.com/?uri=spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H"
"urbano espanol";"https://embed.spotify.com/?uri=spotify:playlist:6gpELhsiYJyaL13srOlTMQ"
"chamber pop";"https://embed.spotify.com/?uri=spotify:playlist:1UqeJ3nLHNDOlA6zwFkimJ"
"rap francais";"https://embed.spotify.com/?uri=spotify:playlist:0iWAjJOZQvLdbYeBDisvdT"
"dance rock";"https://embed.spotify.com/?uri=spotify:playlist:3PgRe3aEtNXhWm9GOUgOdG"
"j-rock";"https://embed.spotify.com/?uri=spotify:playlist:537P5gB83q9AmtDFdFNBLO"
"polish hip hop";"https://embed.spotify.com/?uri=spotify:playlist:1DXuK8SBX4BNVEkZ4ifHBJ"
"sleep";"https://embed.spotify.com/?uri=spotify:playlist:0cuaFpexE9V0zr3s7l6yjR"
"folk";"https://embed.spotify.com/?uri=spotify:playlist:4JuKjgd76AZn2fUaeXNCuo"
"anime";"https://embed.spotify.com/?uri=spotify:playlist:5fSZTu6aISl80OPrmGu79j"
"trap brasileiro";"https://embed.spotify.com/?uri=spotify:playlist:6u3BeKMf8CUZe4ab0HtNbT"
"disco";"https://embed.spotify.com/?uri=spotify:playlist:0ZVSWcJIf7cvycEn9HUvps"
"pluggnb";"https://embed.spotify.com/?uri=spotify:playlist:5eUTjCgIZ8jNCpQRHbxltu"
"british soul";"https://embed.spotify.com/?uri=spotify:playlist:4Ar1S6TuqmS0R2RV59AR1k"
"metalcore";"https://embed.spotify.com/?uri=spotify:playlist:71kedeh6L7P0equUL0vOqe"
"australian pop";"https://embed.spotify.com/?uri=spotify:playlist:67qIuPZRX12l7yMpxBQpxs"
"uk hip hop";"https://embed.spotify.com/?uri=spotify:playlist:4Ek92zIh4Sq5IVU9Mgv7d6"
"christian music";"https://embed.spotify.com/?uri=spotify:playlist:1b1BPM9hp5Q0eI7yuGTaot"
"gen z singer-songwriter";"https://embed.spotify.com/?uri=spotify:playlist:5nUyv9wyZKjdUW1rk3smTo"
"electropop";"https://embed.spotify.com/?uri=spotify:playlist:1BYospE2cLB28m3i84dcTV"
"big room";"https://embed.spotify.com/?uri=spotify:playlist:70E7wtl8eL3IG2kpaWok6E"
"forro";"https://embed.spotify.com/?uri=spotify:playlist:6aRR1ZmHR6ehjbhlsoctG1"
"swedish pop";"https://embed.spotify.com/?uri=spotify:playlist:6mvBNM74d828wcEy9Bpb46"
"classic oklahoma country";"https://embed.spotify.com/?uri=spotify:playlist:4swO9BLJdUIGuNJii0IXLI"
"reggaeton flow";"https://embed.spotify.com/?uri=spotify:playlist:2HZIaMnfPMDf24XjrNXaMt"
"pop nacional";"https://embed.spotify.com/?uri=spotify:playlist:4yf2dXdO6U7TVDXZMbm8nY"
"british invasion";"https://embed.spotify.com/?uri=spotify:playlist:4UptWIEPwIimCpCHayG4yZ"
"mexican rock";"https://embed.spotify.com/?uri=spotify:playlist:5FI68jaboLczr9zIUVfQPW"
"indie soul";"https://embed.spotify.com/?uri=spotify:playlist:2I4WRSnG0wVgkbSasDUqKp"
"contemporary r&b";"https://embed.spotify.com/?uri=spotify:playlist:1rlHnACGatHAOQrZ3WjEI3"
"folk-pop";"https://embed.spotify.com/?uri=spotify:playlist:1RWc3d424qgjr8HTwCVh6A"
"white noise";"https://embed.spotify.com/?uri=spotify:playlist:7j5QgrOCOptczCKI74BK39"
"pagode novo";"https://embed.spotify.com/?uri=spotify:playlist:3U903ICkXhjRoPgPrG4O1j"
"soundtrack";"https://embed.spotify.com/?uri=spotify:playlist:2RmQ1WAONeEih0FWEK7CW5"
"funk metal";"https://embed.spotify.com/?uri=spotify:playlist:6JqQli6WY1G043Mihy3MBp"
"grunge";"https://embed.spotify.com/?uri=spotify:playlist:2PNaFf1DInEl8NJSdkE4F4"
"french pop";"https://embed.spotify.com/?uri=spotify:playlist:03csHhetcFo29YHV4Z9A3g"
"emo rap";"https://embed.spotify.com/?uri=spotify:playlist:0Fz9zaKbug4gw1xTvmTUWI"
"salsa";"https://embed.spotify.com/?uri=spotify:playlist:58ELr3yC5uxg8QsQWD8Lmy"
"rain";"https://embed.spotify.com/?uri=spotify:playlist:4NVJ5W2V7pgadk3yXliHTD"
"r&b francais";"https://embed.spotify.com/?uri=spotify:playlist:2UOSW9qb7oKPK0myr9I7vE"
"lgbtq+ hip hop";"https://embed.spotify.com/?uri=spotify:playlist:0njc7Pu7XGeU25wdaJRdLm"
"turkish rock";"https://embed.spotify.com/?uri=spotify:playlist:0aOQSNOuSE84kP4epEGVou"
"memphis hip hop";"https://embed.spotify.com/?uri=spotify:playlist:1rmskknWn4KPtEC6PHh2Rd"
"mariachi";"https://embed.spotify.com/?uri=spotify:playlist:5eAqREKMQTvNSVE3R8oVEj"
"brostep";"https://embed.spotify.com/?uri=spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0"
"classic soul";"https://embed.spotify.com/?uri=spotify:playlist:1eWqWLqf2wmssHJFvNLK2P"
"funk mtg";"https://embed.spotify.com/?uri=spotify:playlist:7qgTJhcHV88KAk7zILiOLL"
"trap triste";"https://embed.spotify.com/?uri=spotify:playlist:1uE60pEQpaIgUT3T7Voloi"
"dirty south rap";"https://embed.spotify.com/?uri=spotify:playlist:3l6M4SAmRg9L0DlalK76H8"
"melodic metalcore";"https://embed.spotify.com/?uri=spotify:playlist:4PsFYH9aJDNjy7iwkWag7S"
"blues rock";"https://embed.spotify.com/?uri=spotify:playlist:2kISScyTs0we9kzH9MKEMb"
"alternative hip hop";"https://embed.spotify.com/?uri=spotify:playlist:2kHQTJJWXc54i8mX8ndYdf"
"melancholia";"https://embed.spotify.com/?uri=spotify:playlist:6gB4lvhZqPfknvnw2iNwL6"
"pop soul";"https://embed.spotify.com/?uri=spotify:playlist:0ShRnc2cyEyxkLbtZC4Yim"
"brazilian gospel";"https://embed.spotify.com/?uri=spotify:playlist:6Xxksk0PXng2x9zF30Yzg7"
"outlaw country";"https://embed.spotify.com/?uri=spotify:playlist:5D1IoXQGtdt84Mx8QvvSSY"
"orchestral soundtrack";"https://embed.spotify.com/?uri=spotify:playlist:4a5OYJObN9YJPpfBuP2L22"
"dutch house";"https://embed.spotify.com/?uri=spotify:playlist:2A2qSpDa4K8gD55D7sDJe7"
"turkish hip hop";"https://embed.spotify.com/?uri=spotify:playlist:4t5PSWEsLQeZ4i90PEpW9i"
"queens hip hop";"https://embed.spotify.com/?uri=spotify:playlist:0AxeQveEqk8X42sovBCls8"
"christian alternative rock";"https://embed.spotify.com/?uri=spotify:playlist:3P1RRrVtaVLBTOvvNm8k8N"
"mandopop";"https://embed.spotify.com/?uri=spotify:playlist:4EIGwSoao5WkHd5YVP4CfG"
"lounge";"https://embed.spotify.com/?uri=spotify:playlist:7jk0EKyr4Lc4jc4XPE4ycL"
"worship";"https://embed.spotify.com/?uri=spotify:playlist:1auZ2gm318zSzLhrknJtVw"
"dfw rap";"https://embed.spotify.com/?uri=spotify:playlist:6ze96fv5x3AklLyAqxPPv8"
"electronica";"https://embed.spotify.com/?uri=spotify:playlist:6I0NsYzfoj7yHXyvkZYoRx"
"pixel";"https://embed.spotify.com/?uri=spotify:playlist:0t85wrZwJdkmcL015OytYz"
"trap italiana";"https://embed.spotify.com/?uri=spotify:playlist:6AxIe6nptUOe8jJ4LeNptt"
"pop reggaeton";"https://embed.spotify.com/?uri=spotify:playlist:7dWozFDD5uTTmEFMcQtGZj"
"new orleans rap";"https://embed.spotify.com/?uri=spotify:playlist:41wq6c8ic47zFa4ixRZp6P"
"otacore";"https://embed.spotify.com/?uri=spotify:playlist:5UBQfw8fKxi6ADXxUdUT2K"
"rock-and-roll";"https://embed.spotify.com/?uri=spotify:playlist:34bhxCaWrYi4kF67mNYiXW"
